timestamp,edge,lat,long,head,time,bitrate,jitter,lost
1663855127.0,"(3596765030, 1487207562, 0)",40.64354,-8.659371667,89.99999945742462,13:58,7.88,0.375,0
1663855127.1,"(3596765030, 1487207562, 0)",40.64354,-8.659371667,89.99999945742462,13:58,8.46,0.181,0
1663855127.2,"(3596765030, 1487207562, 0)",40.64354,-8.659371667,89.99999945742462,13:58,8.45,0.268,0
1663855127.3,"(3596765030, 1487207562, 0)",40.64354,-8.659371667,89.99999945742462,13:58,8.22,0.662,0
1663855127.4,"(3596765030, 1487207562, 0)",40.64354,-8.659371667,89.99999945742462,13:58,8.46,0.593,0
1663855127.5,"(3596765030, 1487207562, 0)",40.64354,-8.659371667,89.99999945742462,13:58,8.34,0.369,0
1663855127.6,"(3596765030, 1487207562, 0)",40.64354,-8.659371667,89.99999945742462,13:58,8.22,0.355,0
1663855127.7,"(3596765030, 1487207562, 0)",40.64354,-8.659371667,89.99999945742462,13:58,8.57,0.27,0
1663855127.8,"(3596765030, 1487207562, 0)",40.64354,-8.659371667,89.99999945742462,13:58,8.34,0.336,0
1663855127.9,"(3596765030, 1487207562, 0)",40.64354,-8.659371667,89.99999945742462,13:58,8.22,0.356,0
1663855128.0,"(3596765030, 1487207562, 0)",40.64354,-8.659371667,139.08,13:58,8.34,0.356,1
1663855128.1,"(3596765030, 1487207562, 0)",40.64354,-8.659371667,139.08,13:58,7.88,0.488,0
1663855128.2,"(3596765030, 1487207562, 0)",40.64354,-8.659371667,139.08,13:58,8.23,0.441,0
1663855128.3,"(3596765030, 1487207562, 0)",40.64354,-8.659371667,139.08,13:58,8.46,0.247,0
1663855128.4,"(3596765030, 1487207562, 0)",40.64354,-8.659371667,139.08,13:58,8.34,0.494,0
1663855128.5,"(3596765030, 1487207562, 0)",40.64354,-8.659371667,139.08,13:58,8.45,0.229,0
1663855128.6,"(3596765030, 1487207562, 0)",40.64354,-8.659371667,139.08,13:58,7.99,0.926,0
1663855128.7,"(3596765030, 1487207562, 0)",40.64354,-8.659371667,139.08,13:58,8.22,0.354,0
1663855128.8,"(3596765030, 1487207562, 0)",40.64354,-8.659371667,139.08,13:58,8.34,0.256,0
1663855128.9,"(3596765030, 1487207562, 0)",40.64354,-8.659371667,139.08,13:58,8.46,0.128,0
1663855129.0,"(3596765030, 1487207562, 0)",40.64354,-8.659371667,139.08,13:58,8.34,0.394,1
1663855129.1,"(3596765030, 1487207562, 0)",40.64354,-8.659371667,139.08,13:58,8.58,0.239,0
1663855129.2,"(3596765030, 1487207562, 0)",40.64354,-8.659371667,139.08,13:58,7.87,0.309,0
1663855129.3,"(3596765030, 1487207562, 0)",40.64354,-8.659371667,139.08,13:58,7.65,0.612,0
1663855129.4,"(3596765030, 1487207562, 0)",40.64354,-8.659371667,139.08,13:58,8.11,0.502,0
1663855129.5,"(3596765030, 1487207562, 0)",40.64354,-8.659371667,139.08,13:58,8.46,0.428,0
1663855129.6,"(3596765030, 1487207562, 0)",40.64354,-8.659371667,139.08,13:58,8.34,0.668,0
1663855129.7,"(3596765030, 1487207562, 0)",40.64354,-8.659371667,139.08,13:58,8.46,0.376,0
1663855129.8,"(3596765030, 1487207562, 0)",40.64354,-8.659371667,139.08,13:58,8.45,0.169,0
1663855129.9,"(3596765030, 1487207562, 0)",40.64354,-8.659371667,139.08,13:58,8.11,0.147,0
1663855130.0,"(3596765030, 1487207562, 0)",40.64354,-8.659371667,139.08,13:58,8.57,0.193,0
1663855130.1,"(3596765030, 1487207562, 0)",40.64354,-8.659371667,139.08,13:58,8.57,0.238,0
1663855130.2,"(3596765030, 1487207562, 0)",40.64354,-8.659371667,139.08,13:58,8.46,0.231,0
1663855130.3,"(3596765030, 1487207562, 0)",40.64354,-8.659371667,139.08,13:58,8.34,0.234,0
