timestamp,hour,minute,lat,long,head,bitrate,jitter,lost,obu_id
1666264845.6,12,20,40.63151378971892,-8.654821125724563,162.9,2.32,3.296,25,52
1666264845.7,12,20,40.63151452967208,-8.65482141617868,162.9,2.43,5.075,22,52
1666264845.8,12,20,40.631515269625226,-8.654821706632802,162.9,2.55,2.747,21,52
1666264845.9,12,20,40.63151600957838,-8.654821997086932,162.9,2.2,2.044,20,52
1666264846.0,12,20,40.631516017,-8.654822,162.9,1.51,2.529,23,52
1666264846.1,12,20,40.63151558969842,-8.654822364371721,162.9,0.811,5.43,36,52
1666264846.2,12,20,40.63151516239684,-8.65482272874344,162.9,0.578,7.317,58,52
1666264846.3,12,20,40.63151473509525,-8.654823093115152,162.9,0.696,8.532,25,52
1666264846.4,12,20,40.63151430779367,-8.654823457486861,162.9,0.463,20.923,89,52
1666264846.5,12,20,40.63151388049207,-8.654823821858566,162.9,0.695,23.648,14,52
1666264846.6,12,20,40.63151345319049,-8.654824186230265,162.9,1.51,17.537,75,52
1666264846.7,12,20,40.6315130258889,-8.654824550601957,162.9,1.62,11.059,6,52
1666264846.8,12,20,40.6315125985873,-8.654824914973647,162.9,2.32,6.412,23,52
1666264846.9,12,20,40.63151217128571,-8.654825279345332,162.9,2.43,4.424,25,52
1666264847.0,12,20,40.631512167,-8.654825283,162.9,2.43,3.061,25,52
1666264847.1,12,20,40.63151175079716,-8.654825303421685,162.9,2.32,2.959,23,52
1666264847.2,12,20,40.63151133459432,-8.654825323843372,162.9,2.55,2.605,26,52
1666264847.3,12,20,40.63151091839149,-8.654825344265058,162.9,2.09,4.543,33,52
1666264847.4,12,20,40.63151050218863,-8.654825364686744,162.9,1.97,4.465,26,52
1666264847.5,12,20,40.6315100859858,-8.65482538510843,162.9,2.55,4.224,24,52
1666264847.6,12,20,40.63150966978296,-8.654825405530115,162.9,2.09,4.068,28,52
1666264847.7,12,20,40.63150925358011,-8.654825425951799,162.9,2.32,3.567,23,52
1666264847.8,12,20,40.63150883737727,-8.654825446373485,162.9,2.32,3.107,28,52
1666264847.9,12,20,40.63150842117444,-8.654825466795169,162.9,1.85,3.515,27,52
1666264848.0,12,20,40.631508417,-8.654825467,162.9,1.16,5.092,33,52
1666264848.1,12,20,40.631509003346565,-8.654825526156296,162.9,2.55,5.621,35,52
1666264848.2,12,20,40.63150958969312,-8.654825585312592,162.9,4.4,3.107,17,52
1666264848.3,12,20,40.63151017603968,-8.65482564446889,162.9,4.05,1.844,18,52
1666264848.4,12,20,40.63151076238624,-8.654825703625187,162.9,4.64,1.631,16,52
1666264848.5,12,20,40.6315113487328,-8.654825762781485,162.9,3.36,1.552,17,52
1666264848.6,12,20,40.63151193507937,-8.654825821937786,162.9,1.97,3.152,26,52
1666264848.7,12,20,40.631512521425925,-8.654825881094089,162.9,1.85,3.301,33,52
1666264848.8,12,20,40.63151310777248,-8.65482594025039,162.9,0.811,7.079,30,52
1666264848.9,12,20,40.63151369411905,-8.654825999406695,162.9,0.927,7.95,52,52
1666264849.0,12,20,40.6315137,-8.654826,162.9,0.927,16.111,82,52
1666264849.1,12,20,40.63151361675944,-8.65482603140944,162.9,1.85,10.644,15,52
1666264849.2,12,20,40.631513533518856,-8.65482606281888,162.9,2.44,5.742,22,52
1666264849.3,12,20,40.6315134502783,-8.654826094228321,162.9,1.5,5.274,23,52
1666264849.4,12,20,40.631513367037726,-8.654826125637761,162.9,0.116,7.556,0,52
1666264849.6,12,20,40.6315132005566,-8.654826188456642,162.9,1.16,30.348,82,52
1666264849.7,12,20,40.63151311731601,-8.654826219866084,162.9,1.51,15.687,0,52
1666264849.8,12,20,40.63151303407545,-8.654826251275525,162.9,0.116,21.691,0,52
1666264849.9,12,20,40.63151295083488,-8.654826282684965,162.9,1.16,16.443,16,52
1666264850.0,12,20,40.63151295,-8.654826283,162.9,2.43,6.844,22,52
1666264850.1,12,20,40.63151301847924,-8.65482649021352,162.9,2.55,7.067,18,52
1666264850.2,12,20,40.631513086958485,-8.65482669742704,162.9,2.43,4.214,12,52
1666264850.3,12,20,40.63151315543772,-8.65482690464056,162.9,2.32,2.026,16,52
1666264850.4,12,20,40.63151322391696,-8.65482711185408,162.9,1.51,2.54,13,52
1666264850.5,12,20,40.6315132923962,-8.654827319067602,162.9,2.32,2.161,9,52
1666264850.6,12,20,40.631513360875445,-8.654827526281123,162.9,1.62,3.74,12,52
1666264850.7,12,20,40.63151342935468,-8.654827733494646,162.9,1.85,3.325,23,52
1666264850.8,12,20,40.63151349783392,-8.654827940708168,162.9,2.32,2.813,9,52
1666264850.9,12,20,40.63151356631315,-8.654828147921691,162.9,2.2,2.958,17,52
1666264851.0,12,20,40.631513567,-8.65482815,162.9,1.97,2.87,10,52
1666264851.1,12,20,40.631513567,-8.654828227691196,162.9,1.27,4.672,21,52
1666264851.2,12,20,40.631513567,-8.654828305382393,162.9,2.2,4.187,34,52
1666264851.3,12,20,40.631513567,-8.654828383073589,162.9,2.09,4.758,37,52
1666264851.4,12,20,40.631513567,-8.654828460764787,162.9,0.811,7.047,41,52
1666264851.5,12,20,40.631513567,-8.654828538455984,162.9,0.927,5.764,70,52
1666264851.6,12,20,40.631513567,-8.65482861614718,162.9,1.62,9.405,46,52
1666264851.7,12,20,40.631513567,-8.654828693838377,162.9,2.08,7.318,35,52
1666264851.8,12,20,40.631513567,-8.654828771529573,162.9,0.232,7.766,33,52
1666264851.9,12,20,40.631513567,-8.654828849220769,162.9,0.116,17.554,66,52
1666264852.0,12,20,40.631513567,-8.65482885,162.9,2.43,13.87,64,52
1666264852.1,12,20,40.63151359474685,-8.654828940676724,162.9,2.55,6.668,38,52
1666264852.2,12,20,40.63151362249371,-8.65482903135345,162.9,1.62,4.488,39,52
1666264852.5,12,20,40.63151370573427,-8.654829303383627,162.9,0.811,14.762,36,52
1666264852.6,12,20,40.63151373348113,-8.654829394060354,162.9,1.85,18.347,72,52
1666264852.7,12,20,40.63151376122799,-8.654829484737078,162.9,2.55,7.603,8,52
1666264852.8,12,20,40.63151378897484,-8.654829575413805,162.9,2.55,4.685,18,52
1666264852.9,12,20,40.63151381672169,-8.654829666090532,162.9,1.62,4.546,17,52
1666264853.0,12,20,40.631513817,-8.654829667,162.9,0.927,6.938,27,52
1666264853.1,12,20,40.63151378547957,-8.65482971872014,162.9,1.51,6.543,40,52
1666264853.2,12,20,40.63151375395914,-8.65482977044028,162.9,2.55,8.808,38,52
1666264853.3,12,20,40.63151372243871,-8.65482982216042,162.9,1.74,6.096,42,52
1666264853.4,12,20,40.63151369091829,-8.654829873880558,162.9,1.27,6.17,38,52
1666264853.5,12,20,40.631513659397854,-8.654829925600698,162.9,1.39,6.485,33,52
1666264853.6,12,20,40.63151362787743,-8.654829977320839,162.9,2.09,9.492,51,52
1666264853.7,12,20,40.631513596357,-8.654830029040976,162.9,2.2,5.863,50,52
1666264853.8,12,20,40.631513564836574,-8.654830080761116,162.9,2.32,4.3,23,52
1666264853.9,12,20,40.63151353331615,-8.654830132481255,162.9,2.32,2.625,20,52
1666264854.0,12,20,40.631513533,-8.654830133,162.9,0.116,8.857,0,52
1666264854.1,12,20,40.63151164998737,-8.654829019463065,162.9,0.694,6.998,25,52
1666264854.2,12,20,40.63150976697471,-8.654827905926192,162.9,1.04,9.062,64,52
1666264854.3,12,20,40.63150788396205,-8.654826792389382,162.9,1.85,15.999,33,52
1666264854.4,12,20,40.63150600094937,-8.654825678852635,162.9,1.39,16.133,67,52
1666264854.5,12,20,40.63150411793669,-8.65482456531595,162.9,1.85,10.888,36,52
1666264854.6,12,20,40.631502234924,-8.654823451779329,162.9,0.463,13.941,33,52
1666264854.7,12,20,40.6315003519113,-8.65482233824277,162.9,1.27,13.096,76,52
1666264854.8,12,20,40.63149846889858,-8.654821224706273,162.9,0.811,15.093,66,52
1666264854.9,12,20,40.631496585885856,-8.65482011116984,162.9,1.39,13.492,68,52
1666264855.0,12,20,40.631496567,-8.6548201,162.0,1.97,9.306,57,52
1666264855.1,12,20,40.63149591772356,-8.65481765827659,162.0,1.27,7.717,54,52
1666264855.2,12,20,40.63149526844703,-8.654815216553228,162.0,1.74,6.238,65,52
1666264855.3,12,20,40.63149461917048,-8.654812774829912,162.0,0.347,5.867,57,52
1666264855.4,12,20,40.63149396989387,-8.654810333106646,162.0,1.62,15.43,78,52
1666264855.5,12,20,40.6314933206172,-8.654807891383424,162.0,1.16,10.82,58,52
1666264855.6,12,20,40.63149267134049,-8.65480544966025,162.0,0.232,16.427,80,52
1666264855.7,12,20,40.631492022063725,-8.654803007937126,162.0,0.347,15.18,75,52
1666264855.8,12,20,40.63149137278691,-8.654800566214048,162.0,0.116,21.483,50,52
1666264855.9,12,20,40.63149072351004,-8.654798124491016,162.0,0.232,22.573,0,52
1666264856.1,12,20,40.63148696740086,-8.654796133635424,150.4,0.232,34.34,75,52
1666264856.2,12,20,40.63148321780168,-8.654794167271065,150.4,1.04,50.236,83,52
1666264856.3,12,20,40.63147946820245,-8.654792200906929,150.4,0.116,48.755,0,52
1666264856.5,12,20,40.631471969003925,-8.654788268179319,150.4,0.116,60.939,66,52
1666264856.6,12,20,40.63146821940461,-8.654786301815845,150.4,0.116,64.212,50,52
1666264856.8,12,20,40.63146072020589,-8.654782369089558,150.4,0.232,66.826,33,52
1666264856.9,12,20,40.63145697060646,-8.654780402726747,150.4,0.116,71.23,50,52
1666264857.0,12,20,40.631456933,-8.654780383,157.2,0.116,72.717,0,52
1666264857.4,12,20,40.63143938233544,-8.654763505807805,157.2,0.464,103.717,92,52
1666264857.5,12,20,40.63143499466892,-8.654759286511142,157.2,0.232,96.45,0,52
1666264857.7,12,20,40.63142621933541,-8.65475084791948,157.2,0.464,84.605,20,52
1666264857.8,12,20,40.63142183166842,-8.654746628624482,157.2,0.116,85.23,0,52
1666264858.0,12,20,40.6314174,-8.654742367,150.8,1.51,44.664,53,52
1666264858.1,12,20,40.63141224097151,-8.654738676667154,150.8,2.32,35.759,25,52
1666264858.2,12,20,40.6314070819429,-8.654734986334876,150.8,2.2,12.257,24,52
1666264858.3,12,20,40.631401922914186,-8.65473129600317,150.8,2.55,4.652,12,52
1666264858.4,12,20,40.63139676388535,-8.654727605672033,150.8,2.43,2.963,12,52
1666264858.5,12,20,40.63139160485638,-8.654723915341465,150.8,1.74,3.016,21,52
1666264858.6,12,20,40.63138644582732,-8.654720225011468,150.8,3.48,2.92,9,52
1666264858.7,12,20,40.63138128679813,-8.654716534682041,150.8,4.63,1.876,6,52
1666264858.8,12,20,40.6313761277688,-8.654712844353186,150.8,4.87,0.763,6,52
1666264858.9,12,20,40.63137096873939,-8.6547091540249,150.8,7.18,0.754,4,52
1666264859.0,12,20,40.631370917,-8.654709117,152.4,8.22,0.186,1,52
1666264859.1,12,20,40.631364394601945,-8.65470419470606,152.4,5.33,0.803,0,52
1666264859.2,12,20,40.63135787220369,-8.654699272413083,152.4,8.23,0.327,0,52
1666264859.3,12,20,40.631351349805215,-8.654694350121067,152.4,7.99,0.35,2,52
1666264859.4,12,20,40.63134482740655,-8.654689427830014,152.4,2.78,2.19,0,52
1666264859.5,12,20,40.63133830500766,-8.654684505539922,152.4,1.97,3.613,0,52
1666264859.6,12,20,40.63133178260856,-8.654679583250791,152.4,2.55,3.807,0,52
1666264859.7,12,20,40.63132526020926,-8.654674660962623,152.4,2.43,4.342,4,52
1666264859.8,12,20,40.63131873780975,-8.654669738675416,152.4,3.36,3.4,0,52
1666264859.9,12,20,40.63131221541003,-8.65466481638917,152.4,2.67,2.781,0,52
1666264860.0,12,21,40.63131215,-8.654664767,154.4,2.66,1.558,4,52
1666264860.1,12,21,40.63130473792672,-8.654658954919306,154.4,2.55,0.761,4,52
1666264860.2,12,21,40.63129732585314,-8.654653142839903,154.4,2.78,1.846,0,52
1666264860.3,12,21,40.63128991377928,-8.65464733076179,154.4,1.85,4.192,5,52
1666264860.4,12,21,40.63128250170513,-8.654641518684967,154.4,0.695,6.746,0,52
1666264860.5,12,21,40.63127508963066,-8.654635706609435,154.4,1.39,6.113,7,52
1666264860.6,12,21,40.63126767755594,-8.654629894535192,154.4,1.85,4.538,15,52
1666264860.7,12,21,40.6312602654809,-8.654624082462242,154.4,3.24,5.589,3,52
1666264860.8,12,21,40.631252853405584,-8.65461827039058,154.4,3.25,2.976,3,52
1666264860.9,12,21,40.63124544132997,-8.65461245832021,154.4,4.52,1.637,2,52
1666264861.0,12,21,40.631245367,-8.6546124,150.3,4.75,0.522,2,52
1666264861.1,12,21,40.63123688012454,-8.65460730567497,150.3,1.62,3.322,6,52
1666264861.3,12,21,40.63121990637294,-8.654597117028798,150.3,0.232,14.189,50,52
1666264861.4,12,21,40.631211419496815,-8.654592022707655,150.3,1.04,11.596,30,52
1666264861.5,12,21,40.63120293262045,-8.654586928387808,150.3,2.08,6.324,18,52
1666264861.6,12,21,40.63119444574387,-8.654581834069253,150.3,2.9,9.468,7,52
1666264861.7,12,21,40.63118595886706,-8.654576739751995,150.3,2.09,6.123,5,52
1666264861.8,12,21,40.63117747199004,-8.65457164543603,150.3,6.37,2.775,5,52
1666264861.9,12,21,40.63116898511278,-8.654566551121361,150.3,5.44,1.401,4,52
1666264862.0,12,21,40.6311689,-8.6545665,152.7,4.63,1.746,2,52
1666264862.1,12,21,40.63115857261996,-8.654558971385987,152.7,2.55,3.235,8,52
1666264862.2,12,21,40.631148245239416,-8.654551442774302,152.7,2.08,4.513,5,52
1666264862.3,12,21,40.6311379178584,-8.654543914164947,152.7,1.85,6.25,11,52
1666264862.4,12,21,40.63112759047689,-8.65453638555792,152.7,1.74,5.039,16,52
1666264862.5,12,21,40.631117263094886,-8.654528856953222,152.7,2.32,4.766,23,52
1666264862.6,12,21,40.6311069357124,-8.654521328350853,152.7,3.24,4.069,9,52
1666264862.7,12,21,40.63109660832942,-8.654513799750813,152.7,5.68,1.636,3,52
1666264862.8,12,21,40.63108628094594,-8.654506271153101,152.7,7.87,0.37,1,52
1666264862.9,12,21,40.631075953562,-8.654498742557719,152.7,8.23,0.326,0,52
1666264863.0,12,21,40.63107585,-8.654498667,153.6,7.41,0.48,0,52
1666264863.1,12,21,40.63106666024116,-8.654492999202487,153.6,6.83,1.165,3,52
